asset_i,asset_j,cov,dt
AAPL,AAPL,0.0,2026-01-26
AAPL,AMZN,0.0,2026-01-26
AAPL,GOOGL,0.0,2026-01-26
AAPL,MSFT,0.0,2026-01-26
AAPL,TSLA,0.0,2026-01-26
AMZN,AAPL,0.0,2026-01-26
AMZN,AMZN,0.0,2026-01-26
AMZN,GOOGL,0.0,2026-01-26
AMZN,MSFT,0.0,2026-01-26
AMZN,TSLA,0.0,2026-01-26
GOOGL,AAPL,0.0,2026-01-26
GOOGL,AMZN,0.0,2026-01-26
GOOGL,GOOGL,0.0,2026-01-26
GOOGL,MSFT,0.0,2026-01-26
GOOGL,TSLA,0.0,2026-01-26
MSFT,AAPL,0.0,2026-01-26
MSFT,AMZN,0.0,2026-01-26
MSFT,GOOGL,0.0,2026-01-26
MSFT,MSFT,0.0,2026-01-26
MSFT,TSLA,0.0,2026-01-26
TSLA,AAPL,0.0,2026-01-26
TSLA,AMZN,0.0,2026-01-26
TSLA,GOOGL,0.0,2026-01-26
TSLA,MSFT,0.0,2026-01-26
TSLA,TSLA,0.0,2026-01-26
